L,gm/Id,Ai
4.5e-07,7.50253,81.3371
4.5e-07,7.52627,81.5111
4.5e-07,7.55014,81.6855
4.5e-07,7.57412,81.86
4.5e-07,7.59822,82.0349
4.5e-07,7.62243,82.21
4.5e-07,7.64677,82.3854
4.5e-07,7.67122,82.561
4.5e-07,7.69579,82.7369
4.5e-07,7.72048,82.913
4.5e-07,7.74529,83.0894
4.5e-07,7.77023,83.266
4.5e-07,7.79528,83.4428
4.5e-07,7.82046,83.6199
4.5e-07,7.84575,83.7973
4.5e-07,7.87117,83.9748
4.5e-07,7.89672,84.1526
4.5e-07,7.92238,84.3306
4.5e-07,7.94818,84.5089
4.5e-07,7.97409,84.6873
4.5e-07,8.00013,84.866
4.5e-07,8.0263,85.0449
4.5e-07,8.05259,85.224
4.5e-07,8.07901,85.4033
4.5e-07,8.10556,85.5828
4.5e-07,8.13223,85.7624
4.5e-07,8.15903,85.9423
4.5e-07,8.18596,86.1224
4.5e-07,8.21302,86.3027
4.5e-07,8.24021,86.4831
4.5e-07,8.26753,86.6637
4.5e-07,8.29498,86.8445
4.5e-07,8.32255,87.0255
4.5e-07,8.35026,87.2066
4.5e-07,8.3781,87.3879
4.5e-07,8.40607,87.5694
4.5e-07,8.43418,87.751
4.5e-07,8.46241,87.9327
4.5e-07,8.49078,88.1146
4.5e-07,8.51928,88.2966
4.5e-07,8.54791,88.4788
4.5e-07,8.57668,88.6611
4.5e-07,8.60558,88.8435
4.5e-07,8.63462,89.026
4.5e-07,8.66379,89.2086
4.5e-07,8.6931,89.3914
4.5e-07,8.72254,89.5742
4.5e-07,8.75211,89.7571
4.5e-07,8.78183,89.9402
4.5e-07,8.81167,90.1233
4.5e-07,8.84166,90.3065
4.5e-07,8.87178,90.4897
4.5e-07,8.90204,90.6731
4.5e-07,8.93243,90.8565
4.5e-07,8.96296,91.0399
4.5e-07,8.99363,91.2234
4.5e-07,9.02444,91.407
4.5e-07,9.05538,91.5905
4.5e-07,9.08646,91.7741
4.5e-07,9.11768,91.9578
4.5e-07,9.14904,92.1414
4.5e-07,9.18053,92.3251
4.5e-07,9.21217,92.5087
4.5e-07,9.24394,92.6924
4.5e-07,9.27585,92.876
4.5e-07,9.30789,93.0597
4.5e-07,9.34008,93.2433
4.5e-07,9.3724,93.4269
4.5e-07,9.40487,93.6104
4.5e-07,9.43747,93.7939
4.5e-07,9.4702,93.9773
4.5e-07,9.50308,94.1607
4.5e-07,9.5361,94.344
4.5e-07,9.56925,94.5272
4.5e-07,9.60254,94.7104
4.5e-07,9.63597,94.8934
4.5e-07,9.66953,95.0763
4.5e-07,9.70323,95.2592
4.5e-07,9.73707,95.4419
4.5e-07,9.77105,95.6245
4.5e-07,9.80516,95.8069
4.5e-07,9.83941,95.9893
4.5e-07,9.87379,96.1714
4.5e-07,9.90831,96.3534
4.5e-07,9.94297,96.5352
4.5e-07,9.97775,96.7169
4.5e-07,10.0127,96.8983
4.5e-07,10.0477,97.0796
4.5e-07,10.0829,97.2607
4.5e-07,10.1182,97.4415
4.5e-07,10.1537,97.6221
4.5e-07,10.1893,97.8025
4.5e-07,10.225,97.9826
4.5e-07,10.2609,98.1625
4.5e-07,10.2968,98.3421
4.5e-07,10.333,98.5214
4.5e-07,10.3692,98.7005
4.5e-07,10.4056,98.8792
4.5e-07,10.442,99.0577
4.5e-07,10.4787,99.2358
4.5e-07,10.5154,99.4136
4.5e-07,10.5523,99.5911
4.5e-07,10.5893,99.7682
4.5e-07,10.6264,99.9449
4.5e-07,10.6636,100.121
4.5e-07,10.701,100.297
4.5e-07,10.7385,100.473
4.5e-07,10.7761,100.648
4.5e-07,10.8138,100.823
4.5e-07,10.8516,100.997
4.5e-07,10.8896,101.171
4.5e-07,10.9276,101.345
4.5e-07,10.9658,101.518
4.5e-07,11.0041,101.69
4.5e-07,11.0425,101.862
4.5e-07,11.081,102.034
4.5e-07,11.1196,102.205
4.5e-07,11.1583,102.376
4.5e-07,11.1972,102.546
4.5e-07,11.2361,102.715
4.5e-07,11.2751,102.884
4.5e-07,11.3143,103.052
4.5e-07,11.3535,103.22
4.5e-07,11.3928,103.387
4.5e-07,11.4322,103.554
4.5e-07,11.4717,103.72
4.5e-07,11.5114,103.885
4.5e-07,11.5511,104.05
4.5e-07,11.5908,104.214
4.5e-07,11.6307,104.377
4.5e-07,11.6707,104.54
4.5e-07,11.7107,104.701
4.5e-07,11.7508,104.863
4.5e-07,11.791,105.023
4.5e-07,11.8313,105.183
4.5e-07,11.8716,105.342
4.5e-07,11.912,105.5
4.5e-07,11.9525,105.658
4.5e-07,11.9931,105.814
4.5e-07,12.0337,105.97
4.5e-07,12.0744,106.125
4.5e-07,12.1151,106.28
