L,gm/Id,Ai
4.5e-07,2.01716,25.5075
4.5e-07,2.02004,25.5561
4.5e-07,2.02292,25.6049
4.5e-07,2.02581,25.6538
4.5e-07,2.0287,25.7028
4.5e-07,2.03161,25.7519
4.5e-07,2.03451,25.801
4.5e-07,2.03743,25.8503
4.5e-07,2.04035,25.8997
4.5e-07,2.04328,25.9492
4.5e-07,2.04622,25.9988
4.5e-07,2.04916,26.0485
4.5e-07,2.05211,26.0984
4.5e-07,2.05506,26.1483
4.5e-07,2.05803,26.1983
4.5e-07,2.061,26.2484
4.5e-07,2.06397,26.2987
4.5e-07,2.06696,26.349
4.5e-07,2.06995,26.3995
4.5e-07,2.07294,26.45
4.5e-07,2.07595,26.5007
4.5e-07,2.07896,26.5515
4.5e-07,2.08198,26.6024
4.5e-07,2.085,26.6534
4.5e-07,2.08803,26.7045
4.5e-07,2.09107,26.7557
4.5e-07,2.09412,26.807
4.5e-07,2.09717,26.8584
4.5e-07,2.10023,26.91
4.5e-07,2.1033,26.9616
4.5e-07,2.10637,27.0134
4.5e-07,2.10945,27.0653
4.5e-07,2.11254,27.1172
4.5e-07,2.11564,27.1693
4.5e-07,2.11874,27.2215
4.5e-07,2.12185,27.2739
4.5e-07,2.12497,27.3263
4.5e-07,2.1281,27.3788
4.5e-07,2.13123,27.4315
4.5e-07,2.13437,27.4843
4.5e-07,2.13752,27.5371
4.5e-07,2.14068,27.5901
4.5e-07,2.14384,27.6433
4.5e-07,2.14701,27.6965
4.5e-07,2.15019,27.7498
4.5e-07,2.15337,27.8033
4.5e-07,2.15656,27.8569
4.5e-07,2.15977,27.9105
4.5e-07,2.16297,27.9643
4.5e-07,2.16619,28.0183
4.5e-07,2.16941,28.0723
4.5e-07,2.17264,28.1265
4.5e-07,2.17588,28.1807
4.5e-07,2.17913,28.2351
4.5e-07,2.18238,28.2896
4.5e-07,2.18565,28.3442
4.5e-07,2.18892,28.399
4.5e-07,2.1922,28.4539
4.5e-07,2.19548,28.5088
4.5e-07,2.19878,28.5639
4.5e-07,2.20208,28.6192
4.5e-07,2.20539,28.6745
4.5e-07,2.20871,28.73
4.5e-07,2.21203,28.7856
4.5e-07,2.21537,28.8413
4.5e-07,2.21871,28.8971
4.5e-07,2.22206,28.953
4.5e-07,2.22542,29.0091
4.5e-07,2.22879,29.0653
4.5e-07,2.23216,29.1216
4.5e-07,2.23554,29.1781
4.5e-07,2.23894,29.2346
4.5e-07,2.24234,29.2913
4.5e-07,2.24574,29.3481
4.5e-07,2.24916,29.4051
4.5e-07,2.25259,29.4621
4.5e-07,2.25602,29.5193
4.5e-07,2.25946,29.5766
4.5e-07,2.26291,29.6341
4.5e-07,2.26637,29.6916
4.5e-07,2.26984,29.7493
4.5e-07,2.27332,29.8072
4.5e-07,2.2768,29.8651
4.5e-07,2.2803,29.9232
4.5e-07,2.2838,29.9814
4.5e-07,2.28731,30.0397
4.5e-07,2.29083,30.0982
4.5e-07,2.29436,30.1568
4.5e-07,2.2979,30.2155
4.5e-07,2.30144,30.2744
4.5e-07,2.305,30.3333
4.5e-07,2.30856,30.3925
4.5e-07,2.31214,30.4517
4.5e-07,2.31572,30.5111
4.5e-07,2.31931,30.5706
4.5e-07,2.32291,30.6302
4.5e-07,2.32652,30.69
4.5e-07,2.33014,30.7499
4.5e-07,2.33376,30.8099
4.5e-07,2.3374,30.8701
4.5e-07,2.34105,30.9304
4.5e-07,2.3447,30.9909
4.5e-07,2.34837,31.0515
4.5e-07,2.35204,31.1122
4.5e-07,2.35573,31.173
4.5e-07,2.35942,31.234
4.5e-07,2.36312,31.2951
4.5e-07,2.36683,31.3564
4.5e-07,2.37055,31.4178
4.5e-07,2.37429,31.4793
4.5e-07,2.37803,31.541
4.5e-07,2.38178,31.6028
4.5e-07,2.38554,31.6648
4.5e-07,2.38931,31.7268
4.5e-07,2.39308,31.7891
4.5e-07,2.39687,31.8514
4.5e-07,2.40067,31.914
4.5e-07,2.40448,31.9766
