L,Id/W,gm/Id
4.5e-07,63.5747,3.38026
4.5e-07,63.3813,3.38705
4.5e-07,63.1881,3.39386
4.5e-07,62.9951,3.4007
4.5e-07,62.8023,3.40757
4.5e-07,62.6097,3.41446
4.5e-07,62.4173,3.42137
4.5e-07,62.2251,3.4283
4.5e-07,62.0331,3.43527
4.5e-07,61.8414,3.44225
4.5e-07,61.6498,3.44926
4.5e-07,61.4584,3.4563
4.5e-07,61.2672,3.46336
4.5e-07,61.0763,3.47045
4.5e-07,60.8855,3.47756
4.5e-07,60.695,3.4847
4.5e-07,60.5046,3.49186
4.5e-07,60.3145,3.49905
4.5e-07,60.1246,3.50627
4.5e-07,59.9348,3.51351
4.5e-07,59.7453,3.52078
4.5e-07,59.556,3.52807
4.5e-07,59.3669,3.53539
4.5e-07,59.178,3.54274
4.5e-07,58.9894,3.55012
4.5e-07,58.8009,3.55752
4.5e-07,58.6126,3.56495
4.5e-07,58.4246,3.5724
4.5e-07,58.2368,3.57989
4.5e-07,58.0491,3.5874
4.5e-07,57.8617,3.59494
4.5e-07,57.6745,3.6025
4.5e-07,57.4876,3.6101
4.5e-07,57.3008,3.61772
4.5e-07,57.1142,3.62537
4.5e-07,56.9279,3.63306
4.5e-07,56.7418,3.64077
4.5e-07,56.5559,3.6485
4.5e-07,56.3702,3.65627
4.5e-07,56.1847,3.66407
4.5e-07,55.9994,3.67189
4.5e-07,55.8144,3.67975
4.5e-07,55.6295,3.68763
4.5e-07,55.4449,3.69555
4.5e-07,55.2605,3.7035
4.5e-07,55.0764,3.71147
4.5e-07,54.8924,3.71948
4.5e-07,54.7087,3.72751
4.5e-07,54.5252,3.73558
4.5e-07,54.3419,3.74368
4.5e-07,54.1588,3.75181
4.5e-07,53.9759,3.75997
4.5e-07,53.7933,3.76817
4.5e-07,53.6109,3.77639
4.5e-07,53.4287,3.78465
4.5e-07,53.2467,3.79293
4.5e-07,53.065,3.80126
4.5e-07,52.8835,3.80961
4.5e-07,52.7022,3.818
4.5e-07,52.5211,3.82641
4.5e-07,52.3402,3.83487
4.5e-07,52.1596,3.84335
4.5e-07,51.9792,3.85187
4.5e-07,51.7991,3.86042
4.5e-07,51.6191,3.86901
4.5e-07,51.4394,3.87763
4.5e-07,51.2599,3.88628
4.5e-07,51.0806,3.89497
