L,Id/W,gm/Id
4.5e-07,20.5717,3.46214
4.5e-07,20.5076,3.46832
4.5e-07,20.4436,3.47453
4.5e-07,20.3797,3.48076
4.5e-07,20.3159,3.487
4.5e-07,20.2521,3.49327
4.5e-07,20.1885,3.49955
4.5e-07,20.1249,3.50586
4.5e-07,20.0614,3.51218
4.5e-07,19.998,3.51853
4.5e-07,19.9347,3.5249
4.5e-07,19.8715,3.53128
4.5e-07,19.8083,3.53769
4.5e-07,19.7453,3.54412
4.5e-07,19.6823,3.55057
4.5e-07,19.6194,3.55704
4.5e-07,19.5566,3.56353
4.5e-07,19.4939,3.57004
4.5e-07,19.4313,3.57657
4.5e-07,19.3688,3.58313
4.5e-07,19.3063,3.5897
4.5e-07,19.2439,3.5963
4.5e-07,19.1817,3.60292
4.5e-07,19.1195,3.60956
4.5e-07,19.0574,3.61622
4.5e-07,18.9954,3.62291
4.5e-07,18.9335,3.62961
4.5e-07,18.8716,3.63634
4.5e-07,18.8099,3.64309
4.5e-07,18.7482,3.64986
4.5e-07,18.6866,3.65666
4.5e-07,18.6252,3.66348
4.5e-07,18.5638,3.67032
4.5e-07,18.5024,3.67718
4.5e-07,18.4412,3.68407
4.5e-07,18.3801,3.69098
4.5e-07,18.3191,3.69791
4.5e-07,18.2581,3.70487
4.5e-07,18.1972,3.71185
4.5e-07,18.1365,3.71885
4.5e-07,18.0758,3.72588
4.5e-07,18.0152,3.73293
4.5e-07,17.9547,3.74
4.5e-07,17.8942,3.7471
4.5e-07,17.8339,3.75422
4.5e-07,17.7737,3.76137
4.5e-07,17.7135,3.76854
4.5e-07,17.6534,3.77574
4.5e-07,17.5935,3.78296
4.5e-07,17.5336,3.7902
4.5e-07,17.4738,3.79747
4.5e-07,17.4141,3.80477
4.5e-07,17.3545,3.81209
4.5e-07,17.2949,3.81943
4.5e-07,17.2355,3.8268
4.5e-07,17.1762,3.8342
4.5e-07,17.1169,3.84162
4.5e-07,17.0577,3.84907
4.5e-07,16.9987,3.85654
4.5e-07,16.9397,3.86404
4.5e-07,16.8808,3.87157
4.5e-07,16.822,3.87912
4.5e-07,16.7633,3.8867
4.5e-07,16.7047,3.89431
4.5e-07,16.6461,3.90194
4.5e-07,16.5877,3.9096
4.5e-07,16.5293,3.91728
4.5e-07,16.4711,3.92499
4.5e-07,16.4129,3.93273
4.5e-07,16.3548,3.9405
4.5e-07,16.2968,3.9483
4.5e-07,16.2389,3.95612
4.5e-07,16.1811,3.96397
4.5e-07,16.1234,3.97185
4.5e-07,16.0658,3.97976
4.5e-07,16.0083,3.98769
4.5e-07,15.9509,3.99566
4.5e-07,15.8935,4.00365
4.5e-07,15.8363,4.01167
4.5e-07,15.7791,4.01972
4.5e-07,15.722,4.0278
4.5e-07,15.6651,4.03591
4.5e-07,15.6082,4.04404
4.5e-07,15.5514,4.05221
4.5e-07,15.4947,4.06041
4.5e-07,15.4381,4.06864
4.5e-07,15.3816,4.07689
4.5e-07,15.3252,4.08518
4.5e-07,15.2688,4.0935
4.5e-07,15.2126,4.10184
4.5e-07,15.1564,4.11022
4.5e-07,15.1004,4.11863
4.5e-07,15.0444,4.12707
4.5e-07,14.9886,4.13554
4.5e-07,14.9328,4.14405
4.5e-07,14.8771,4.15258
4.5e-07,14.8216,4.16115
4.5e-07,14.7661,4.16974
4.5e-07,14.7107,4.17837
4.5e-07,14.6554,4.18704
4.5e-07,14.6002,4.19573
4.5e-07,14.5451,4.20446
4.5e-07,14.49,4.21322
4.5e-07,14.4351,4.22201
4.5e-07,14.3803,4.23083
4.5e-07,14.3255,4.23969
4.5e-07,14.2709,4.24858
4.5e-07,14.2164,4.25751
4.5e-07,14.1619,4.26647
4.5e-07,14.1075,4.27546
4.5e-07,14.0533,4.28449
4.5e-07,13.9991,4.29355
4.5e-07,13.945,4.30265
4.5e-07,13.8911,4.31178
4.5e-07,13.8372,4.32095
4.5e-07,13.7834,4.33015
4.5e-07,13.7297,4.33938
4.5e-07,13.6761,4.34866
4.5e-07,13.6226,4.35796
4.5e-07,13.5692,4.36731
4.5e-07,13.5159,4.37669
4.5e-07,13.4626,4.3861
4.5e-07,13.4095,4.39556
4.5e-07,13.3565,4.40504
4.5e-07,13.3036,4.41457
4.5e-07,13.2507,4.42413
4.5e-07,13.198,4.43373
4.5e-07,13.1453,4.44337
4.5e-07,13.0928,4.45305
4.5e-07,13.0403,4.46276
4.5e-07,12.988,4.47251
4.5e-07,12.9357,4.4823
4.5e-07,12.8836,4.49213
4.5e-07,12.8315,4.502
4.5e-07,12.7795,4.51191
4.5e-07,12.7277,4.52185
4.5e-07,12.6759,4.53184
4.5e-07,12.6242,4.54186
4.5e-07,12.5726,4.55193
4.5e-07,12.5211,4.56204
4.5e-07,12.4698,4.57218
4.5e-07,12.4185,4.58237
4.5e-07,12.3673,4.59259
4.5e-07,12.3162,4.60286
4.5e-07,12.2652,4.61317
4.5e-07,12.2143,4.62352
4.5e-07,12.1635,4.63391
4.5e-07,12.1128,4.64435
4.5e-07,12.0622,4.65483
4.5e-07,12.0117,4.66535
4.5e-07,11.9613,4.67591
4.5e-07,11.9109,4.68651
4.5e-07,11.8607,4.69716
4.5e-07,11.8106,4.70785
4.5e-07,11.7606,4.71859
4.5e-07,11.7107,4.72937
4.5e-07,11.6608,4.74019
4.5e-07,11.6111,4.75106
4.5e-07,11.5615,4.76197
4.5e-07,11.512,4.77293
4.5e-07,11.4626,4.78393
4.5e-07,11.4132,4.79498
4.5e-07,11.364,4.80607
4.5e-07,11.3149,4.81722
4.5e-07,11.2658,4.8284
4.5e-07,11.2169,4.83963
4.5e-07,11.1681,4.85091
4.5e-07,11.1193,4.86224
4.5e-07,11.0707,4.87362
4.5e-07,11.0222,4.88504
4.5e-07,10.9737,4.89651
4.5e-07,10.9254,4.90803
4.5e-07,10.8772,4.91959
4.5e-07,10.829,4.93121
4.5e-07,10.781,4.94287
4.5e-07,10.7331,4.95459
4.5e-07,10.6852,4.96635
4.5e-07,10.6375,4.97816
4.5e-07,10.5899,4.99003
4.5e-07,10.5423,5.00194
4.5e-07,10.4949,5.01391
4.5e-07,10.4476,5.02592
4.5e-07,10.4003,5.03799
4.5e-07,10.3532,5.05011
4.5e-07,10.3062,5.06228
4.5e-07,10.2593,5.0745
